nama_tps,alamat,kelurahan,kecamatan,wilayah,jenis_tps,luas_lahan(m2),status_lahan,volume_sampah_rata_rata_per_hari(m3)
Dipo Kebo,"Jl. Penyelesaian Tomang III, Meruya Utara Kembangan",Meruya Utara,Kembangan,Jakarta Barat,Dipo,220,Pemda,24
Lps Mercubuana,Jl.Tol Lingkar Luar Jakarta W2,Meruya selatan,Kembangan,Jakarta Barat,Pool Gerobak,50,Dinas Olahraga,84
Lps Kopilas,Gg. H. Mansur No.48,Joglo,Kembangan,Jakarta Barat,Pool Gerobak,90,Pt. Kopilas,100
Rw.03 Damkar,Jl. Pemadam No.53,Joglo,Kembangan,Jakarta Barat,Pool Gerobak,12,Tanah Wakaf,20
Komplek damkar rw.02,Jl.Dahlia No.42,Joglo,Kembangan,Jakarta Barat,Pool Container,30,Komplek damkar,4
Taman Alfa Indah,Jl. Palem No. 38,Joglo,Kembangan,Jakarta Barat,Pool Container,14,Komplek,8
Abata,Jl. H. Mandor Salim Blok GBSN Bonang No. 32A,Srengseng,Kembangan,Jakarta Barat,Pool Container,15,Sekolahan,7
RW 010 PETUKANGAN UTARA,Jl. Masjid Darul Falah,Petukangan Utara,Pesanggrahan,Jakarta Selatan,Pool Gerobak,50,Pribadi,2
RW 003 ULUJAMI,Jl. H. Rohimin,Ulujami,Pesanggrahan,Jakarta Selatan,Pool Gerobak,1000,Pribadi,9
RW 004 ULUJAMI,Jl. Kelurahan,Ulujami,Pesanggrahan,Jakarta Selatan,Pool Gerobak,30,Pemda,10
RW 007 ULUJAMI,Jl. Inspeksi,Ulujami,Pesanggrahan,Jakarta Selatan,Pool Gerobak,100,Pemda,10
RW 02 Setiabudi,Jl.Setiabudi Selatan Rw 02,Setiabudi,Setiabudi,Jakarta Selatan,Pool Gerobak,30,MIlik Pemda,8
TPS Kampung kandang,Jalan M. Kahfi 1 (TPU kp.kandang),Jagakarsa,Jagakarsa,Jakarta Selatan,TPS 3R,500,Pemda DKI,20
LPS IISIP Lenteng Agung,Jalan Lenteng Agung barat,Lenteng Agung,Jagakarsa,Jakarta Selatan,TPS,500,Pemda DKI,2
TPS RW.02 H. Shibi,Jalan Lt. Agung timur Gg. H. Shibi,Srengseng sawah,Jagakarsa,Jakarta Selatan,TPS,50,Pemda DKI,8
Kober ,Jl Kebagusan 1,Kebagusan,Pasar Minggu,Jakarta Selatan,TPS,50,Sudin Lingkungan Hidup,20
Jalan Buntu,Jalan Buntu RW. 01 ,Pasar Minggu,Pasar Minggu,Jakarta Selatan,TPS,10,UMKM,8
RW 011 RENGAS,Jl. Rengas,Bintaro,Pesanggrahan,Jakarta Selatan,TPS 3R,1000,Pemda,8
PD Pasar Karet Belakang,Jl. Karet Belakang,Karet,Setiabudi,Jakarta Selatan,TPS,24,Milik Pemda ,8
Tps menteng atas,Jl.Muria Raya,Menteng Atas,Setiabudi,Jakarta Selatan,TPS 3R,900,Milik Pemda,5
PD Pasar Rumput,Jl. Raya Sultan Agung No. 5,Pasar Manggis,Setiabudi,Jakarta Selatan,TPS,40,Milik Pemda,6
LPS Pasar Pedok,Jalan Masjid An Nur,Menteng Dalam,Tebet,Jakarta Selatan,TPS,16,Memakai bahu jalan,6
TPS H. Nusi,Jl. Gandaria V 010/02 Kel. Jagakarsa Kec. Jagakarsa,Jagakarsa,Jagakarsa,Jakarta Selatan,TPS 3R,1100,Pribadi M. Nusi,10
TPS Asrama DLH,Asrama Dinas LH,Lenteng Agung,Jagakarsa,Jakarta Selatan,TPS 3R,210,Dinas LH,10
TPS KTLH Sangga Buana,Karang Tengah RW 03 ,Lebak Bulus,Cilandak,Jakarta Selatan,TPS 3R,42,Dinas Kehutanan,10
Conteiner,Rw 015 Eramas,Pulo gebang,Cakung,Jakarta Timur ,Pool Container,50,Perumahan,2
Terminal Terpadu,Terminal Terpadu,Pulo gebang,Cakung,Jakarta Timur ,Bak Beton,16,Terminal,6
kodim,Kodim,Pulo gebang,Cakung,Jakarta Timur ,Pool Container,12,Pemda,1
bak pos,kantor pos,Pulo gebang,Cakung,Jakarta Timur ,Bak Beton,0.85,bahu jalan,3
Conteiner,Rw 011,Cakung timur,Cakung,Jakarta Timur ,Pool Container,18,bahu jalan,10
Conteiner,Rw 04,Cakung timur,Cakung,Jakarta Timur ,Pool Container,80,tanah pengairan,10
Pool gerobak,RW 01,Cakung Timur,Cakung,Jakarta Timur ,Pool Gerobak,20,tanah pengairan,10
Container,Rw 02,Cakung Timur,Cakung,Jakarta Timur ,Pool Container,18,bahu jalan,10
Pool Gerobak,Rw 03,Cakung Timur,Cakung,Jakarta Timur ,Pool Gerobak,50,bahu jalan,20
Bak Damri,Damri Jl. KRT Radjiman,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,4.5,Bahu jalan,6
Bak ocid,Bak Rt 010 Rw 004,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,2,Bahu jalan,3
Bak Beton,Rt 014 Rw 004,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,2,bahu jalan,3
Bak Beton,Rt 011 Rw 004,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,4,bahu jalan,3
Bak Gardu ,Rw 012 Jl. KRT Radjiman,Jatinegara,Cakung,Jakarta Timur ,Bak Beton,6,bahu jalan,10
Bak Arion,Jl. KRT Radjiman,Jatinegara,Cakung,Jakarta Timur ,Bak Beton,6,Bahu jalan,10
Conteiner,Pengadilan militer,Penggilingan,Cakung,Jakarta Timur ,Pool Container,18,Pengadilan  militer,1
Container,Pasar simpang,Penggilingan ,Cakung,Jakarta Timur ,Pool Container,15,Pasar,5
Pool Gerobak,Jl. gergaji Rw 01,Jatinegara,Cakung,Jakarta Timur ,Pool Gerobak,20,bahu jalan,20
Pool Gerobak,Rw 03,Jatinegara,Cakung,Jakarta Timur ,Pool Container,20,bahu jalan,6
Pasar Klender SS,Pasar Klender SS,Jatinegara,Cakung,Jakarta Timur ,Pool Container,28,Pasar,14
Pool gerobak,Rw 07,Cakung Barat,Cakung,Jakarta Timur ,Pool Gerobak,30,tanah perumnas,15
Container,Rusun Pulo Gebang,Pulo Gebang,Cakung,Jakarta Timur ,Pool Container,18,Rusun,3
Rusun Pulo Gebang,Rusun Pulo Gebang,Pulo Gebang,Cakung,Jakarta Timur ,Bak Beton,2,Rusun,6
Rusun Rawa Bebek,Rusun Rawa Bebek,Pulo gebang,Cakung,Jakarta Timur ,Bak Beton,2,Rusun,6
Conteiner,Pasar pulo jahe,Jatinegara,Cakung,Jakarta Timur ,Pool Container,32,Pasar,10
LPS terbuka,rw 08 Rawa bebek,Jatinegara,Cakung,Jakarta Timur ,TPS,50,bahu jalan,18
Pool Gerobak,Rw 08,Jatinegara,Cakung,Jakarta Timur ,Pool Gerobak,54,bahu jalan,60
Pasar Cakung,Pasar Cakung,Cakung Barat,Cakung,Jakarta Timur ,Bak Beton,3.75,Pasar,6
Rusun Albo,Rusun albo,Cakung Barat,Cakung,Jakarta Timur ,Bak Beton,3,Rusun,8
Container,Pasar Cakung,Cakung Barat,Cakung,Jakarta Timur ,Pool Container,24,Pasar,8
Bak Beton,Rw 03 Jl. komarudin,Cakung Barat,Cakung,Jakarta Timur ,Bak Beton,2.5,bahu jalan,3
Bak Beton,Rw 06 Palad,Cakung Barat,Cakung,Jakarta Timur ,Bak Beton,15,Bahu jalan,4
Container,Rw 07 Jl. irigasi kalimalang,Cakung Barat,Cakung,Jakarta Timur ,Pool Container,18,bahu jalan,10
Container,Rw 04,Cakung Barat,Cakung,Jakarta Timur ,Pool Container,50,bahu jalan,16
Bak Beton,Rusun Pulo Jahe,Jatinegara,Cakung,Jakarta Timur ,Bak Beton,3,Rusun,3
Lps terbuka,Rw 07,Pulo gebang,Cakung,Jakarta Timur ,TPS,200,BKT,80
Bak Beton,Rt 014 Rw 004,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak indomart,Bak Rt 013 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 006 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 002 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,4,Bahu jalan,3
Bak beton,Rt 002 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,6,Bahu jalan,3
Bak beton,Rt 009 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,1.5,Bahu jalan,3
Bak betob,Rt 001 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 001 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,2,Bahu jalan,3
Bak beton,Rt 005 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 005 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalab,3
Bak beton,Rt 005 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalab,3
Bak beton ,Rt 004 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 003 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 002 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Bak beton,Rt 005 Rw 006,Rawa terate,Cakung,Jakarta Timur ,Bak Beton,3,Bahu jalan,3
Swadaya Murni,Jl. Swadaya Murni Rt.001 Rw.010,Lubang Buaya,Cipayung,Jakarta Timur ,Pool Gerobak,150,Milik warga (Bapak Amsir),10
Lapangan,Jl. SPG 7 Lapangan Bola,Lubang Buaya,Cipayung,Jakarta Timur ,Pool Gerobak,200,Dinas Pemuda dan Olahraga,20
Kebun Jati,Jl. Gorda,Lubang Buaya,Cipayung,Jakarta Timur ,Pool Gerobak,150,Yayasan Pesantren Minhaajurrasyidin,10
Flores,Jl. Flores ,Ceger,Cipayung,Jakarta Timur ,Pool Gerobak,12,Pinggir Jalan Raya Binamarga Ceger,1
Pagelarang,Jl. Pagelarang,Setu,Cipayung,Jakarta Timur ,Pool Gerobak,15,Pinggir Jalan Pagelarang,3
Transit jl.Yankes,Jl.Yankes,Munjul,Cipayung,Jakarta Timur ,Pool Gerobak,40,Jalan Umum,20
Dipo komplek munjul,Komplek Polri Munjul,Munjul,Cipayung,Jakarta Timur ,Dipo,150,Tanah Komplek,20
Transit Jl.Assyafi'iyah,Jl.Assyafi'iyah,Cilangkap,Cipayung,Jakarta Timur ,Pool Gerobak,150,Pinjam Pakai,10
Dipo Mawar,Jl.Mawar,Ceger,Cipayung,Jakarta Timur ,Pool Container,75,Pinjam Pakai,10
Transit Lap.Boneng 1,Jl.Bambu Ulung,Bambu Apus,Cipayung,Jakarta Timur ,Pool Gerobak,200,Pinjam Pakai,20
Transit Lap.Boneng 2,Jl.Bambu Ulung,Bambu Apus,Cipayung,Jakarta Timur ,Pool Gerobak,200,Pinjam Pakai,20
Kampus urindo,Jl.Urindo,Bambu Apus,Cipayung,Jakarta Timur ,Bak Beton,50,Milik Kampus Urindo,3
Bak H Karim,Jl.H Karim,Setu,Cipayung,Jakarta Timur ,Bak Beton,6,Jalan Umum,5
Kompos,Jl. Kramat I Rt.004/010,Lubang Buaya,Cipayung,Jakarta Timur ,Bak Beton,5,Warga Rt.004/010,1
Bak beton printis,Jl printis,Ceger ,Cipayung,Jakarta Timur ,Bak Beton,15,Jasa marga,6
Transit jl.tangki,Jl.tangki,Cipayung,Cipayung,Jakarta Timur ,Pool Gerobak,50,Pinjam Pakai,10
Transit Madrasah,Jl.Madrasah,Bambu Apus,Cipayung,Jakarta Timur ,Pool Gerobak,100,Pinjam Pakai Tanah warga,5
Rw 004,Jl. Pangkalan,Pondok Ranggon,Cipayung,Jakarta Timur ,Pool Container,30,Milik warga,10
Mes Akademi TNI,Jl. Raya Cilangkap Baru,Pondok Ranggon,Cipayung,Jakarta Timur ,Pool Container,30,Milik Akademi TNI,1
Binamarga,Komplek Binamarga Rw.005,Cipayung,Cipayung,Jakarta Timur ,Pool Container,80,Komplek Binamarga,6
Manunggal,Jl. H Siun,Ceger,Cipayung,Jakarta Timur ,Pool Container,30,PT Jasamarga,10
Pengayoman,Jl. Perintis,Ceger,Cipayung,Jakarta Timur ,Bak Beton,8,PT Jasamarga,4
Pintu air,Jl. Pintu Air,Ceger,Cipayung,Jakarta Timur ,Bak Beton,16,Milik PT Jasamarga,4
Rt.010 Rw.001,Jl. Mandor Hasan,Bambu Apus,Cipayung,Jakarta Timur ,Bak Beton,9,Di atas Saluran air,3
Kodam,Jl. Bambu Petung Rw.007,Cipayung,Cipayung,Jakarta Timur ,Pool Container,35,Milik komplek Kodam,6
Kp Kramat,Jl. Tileng Rw.004,Setu,Cipayung,Jakarta Timur ,Pool Container,30,Milik warga,6
Kopti,Perumahan Kopti,Setu,Cipayung,Jakarta Timur ,Pool Container,30,Peum Kopti,6
Ujung Haji Karim,Jl. H Karim,Setu,Cipayung,Jakarta Timur ,Bak Beton,5,Pinggir Jalan H. Karim,3
Transito Terminal Kp. Rambutan DK,Jl. Supriadi Rw. 006 Kel. Rambutan,Kampung Rambutan ,Ciracas,Jakarta Timur ,TPS 3R,30,Terminal AKAP kampung rambutan,60
Jl. Manunggal rw. 004,Jl. Manunggal rw. 004,Kampung rambutan,Ciracas,Jakarta Timur ,TPS,50,Pemerintah,20
TPS Hankam,RT 06 RW 03,Kelapa dua wetan,Ciracas,Jakarta Timur ,Bak Beton,15,Warga RT 06 RW 03,10
TPS Hankam,Komplek Hankam RT 02 RW 03 ,Kelapa dua wetan,Ciracas,Jakarta Timur ,Bak Beton,6,Warga RT 02 RW 03,6
Transit pull gerobak rw 08,Jl raya kelapa dua wetan rw 08,Kelapa dua wetan,Ciracas,Jakarta Timur ,Pool Gerobak,100,Pemda DKI Jakarta,20
Bak Container Yayasan PKP,Jl raya PKP Yayasan PKP,Kelapa dua wetan,Ciracas,Jakarta Timur ,Pool Container,30,Yayasan PKP,1
Transit Yayasan PKP,Yayasan PKP,Kelapa dua wetan,Ciracas,Jakarta Timur ,Pool Gerobak,30,Yayasan PKP,4
Bak Kavling III,"Jl. Delima Rt. 04/03, ",Kampung rambutan,Ciracas,Jakarta Timur ,Bak Beton,50,Pemerintah,5
Bak Kavling II,Jl. Delima rt 13/03 / SD Inpres,Kampung rambutan,Ciracas,Jakarta Timur ,Bak Beton,54,Pemerintah,5
Bak Kavling I,Jl. Delima Rt. 15/03,Kampung Rambutan ,Ciracas,Jakarta Timur ,Bak Beton,50,Pemerintah,10
Bak Container RT 04 RW 02,Jl manunggal RT 04 RW 02,Kelapa dua wetan,Ciracas,Jakarta Timur ,Pool Container,3,Jl umum ( trotoar ),2
Dipo Susukan,Jl H Baping RT 10 RW 06,Susukan,Ciracas,Jakarta Timur ,Dipo,253,Pemda DKI Jakarta,15
Dipo Bukit Permai,Jl.Raya Jambore ,Cibubur,Ciracas,Jakarta Timur ,Dipo,200,Milik Dinas Perhutanan,32
TPS Komplek kodam,Komplek Kodam Rw.08 ,Cibubur,Ciracas,Jakarta Timur ,Pool Container,50,Milik warga,20
TPS KOMPLEK DPRD,Jl. Karya Bakti,Cibubur,Ciracas,Jakarta Timur ,Pool Container,50,Milik warga,4
TPS GOR CIBUBUR,Jl. Karya bakti,Cibubur,Ciracas,Jakarta Timur ,Pool Container,30,Milik pemda,3
Pool gerobak Jl. Jambore raya,Jl. Raya Jambore,Cibubur,Ciracas,Jakarta Timur ,Pool Gerobak,30,Milik pemerintah,20
Hanafi,Jalan hanafi,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,4,Milik umum,4
Puskesmas kec.Ciracas,Jln.H.baping Rt.07/06,Susukan,Ciracas,Jakarta Timur ,Pool Gerobak,300,Milik Pemda,1
TPS RW 04 jl cipinang,Jl cipinang rw 04,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,21,Jl Umum (warga 04),10
Bak Trophy,RT 16 RW 04 ,Ciracas,Ciracas,Jakarta Timur ,Bak Beton,4,Warga RW 04,10
TPS UHAMKA,Jl. Merdeka,Kampung rambutan,Ciracas,Jakarta Timur ,Bak Beton,18,Gedung kampus,3
TPS Alhuda,Jl alhuda RT 01 RW 04 ,Ciracas,Ciracas,Jakarta Timur ,Bak Beton,6,Warga RW 04 Alhuda,10
TPS SMAN 99 CIBUBUR,Jl. Bulak ringin ,Cibubur,Ciracas,Jakarta Timur ,Pool Container,50,Milik pemerintah,3
TPS Rusun Pemadam,RT 13 & 14 RW 01 Rusun Pemadam,Ciracas,Ciracas,Jakarta Timur ,Bak Beton,4,Dinas Pemadam Kebakaran,16
Transit Rw.002 Cibubur,Jl.Lapangan tembak,Cibubur,Ciracas,Jakarta Timur ,Pool Gerobak,100,Milik warga,22
TPS Poncol,Jl raya poncol RW 01,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,20,Jl Umum (bahu jalan),20
TPS RW.004 ,Jl. Lapangan tembak,Cibubur,Ciracas,Jakarta Timur ,Pool Gerobak,30,Milik pemerintah,1
TPS Ditkum,Jl. Raya Supriadi,Kampung Rambutan,Ciracas,Jakarta Timur ,Pool Container,18,Pemerintah,10
TPS jl Meubel,Jl mebel RT 03 RW 03 ,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,2,PT Meubel,8
TPS RW.014 ,Jl. Makam dalam,Cibubur,Ciracas,Jakarta Timur ,Pool Gerobak,30,Milik warga,6
TPS RSKO CIBUBUR,Jl. Lapangan tembak,Cibubur,Ciracas,Jakarta Timur ,Bak Beton,30,Milik RSKO,4
TPS RW.006 CIBUBUR,Jl. Lapangan tembak,Cibubur,Ciracas,Jakarta Timur ,Pool Gerobak,50,Milik warga,10
Bak beton,Jln supriadi rt 11/02,Susukan,Ciracas,Jakarta Timur ,Bak Beton,4,Swadaya warga,5
Bak beton,Jln supriadi rt 06/05,Susukan,Ciracas,Jakarta Timur ,Bak Beton,6,Taman,4
Transito jln. Makmur,Gang Makmur rt. 02 Rw. 02,Susukan,Ciracas,Jakarta Timur ,Pool Container,24,PT. Lottle Mart,8
TPS jl. Makmur 2,Jl. Makmur 2,Susukan,Ciracas,Jakarta Timur ,Pool Container,35,Pemerintah,8
Bak kontainer jln makmur atas,Jln. Makmur atas,Susukan,Ciracas,Jakarta Timur ,Pool Container,35,Pemerintah,8
Transisto (Bak Contener ),Jln.makmur atas Rt 08/02,Susukan,Ciracas,Jakarta Timur ,Pool Container,10,Jln umum,8
Gebras,Jl tanah merdeka,Rambutan,Ciracas,Jakarta Timur ,TPS,48,Tanah Pemerintah,20
TPS Jl. Asem,Jln. Asem,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,28,Pemerintah,20
Bak jln.madrasa,Jln.madrasa Rt 04/05,Susukan,Ciracas,Jakarta Timur ,Bak Beton,6,Wakap,6
TPS jl. Hanafi,Jl. Hanafi,Ciracas,Ciracas,Jakarta Timur ,Pool Gerobak,28,Pemerintah ,8
TPS komplek BLK,"Jl. Melati 2, rt  09 rw 01",Susukan,Ciracas,Jakarta Timur ,Bak Beton,50,Pemerintah,10
Bak Gudang Air Rw. 02,Jl. Gudang air Rt. 01/02,Kampung Rambutan,Ciracas ,Jakarta Timur ,Bak Beton,50,Tanah warga Bpk khaerul,10
Bak Rw. 01,Jl. Jenih Rt. 11/06,Kampung Rambutan ,Ciracas ,Jakarta Timur ,Bak Beton,350,Tanah warga "Bpk. Lim",10
Transito Rw. 006,Jl. Supriadi Rw. 006,Kampung Rambutan ,Ciracas ,Jakarta Timur ,Pool Container,100,Pemerintah,20
Dipo H.Naman RW 02,Jl H.Naman RT 002 RW 02,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Dipo,600,Fasum,16
TPS Lampiri RW 05,Jl Raya Lampiri Kalimalang RT 01 RW 05,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Pool Gerobak,40,Wakaf RW 05,7
TPS Curug H. Amar,Jl raya H. Amar Curug RT 03 RW 08,Pondok Kelapa ,Duren Sawit,Jakarta Timur ,Pool Container,8,Fasum,2
LPS Bilymoon RW 10,Jl Raya Tipar RT 09 RW 10 Bilymoon,Pondok Kelapa,Duren Sawit,Jakarta Timur ,TPS,60,Fasum,7
Rw. 06,Jl. Abadi ,Duren Sawit,Duren Sawit,Jakarta Timur ,Pool Gerobak,100,Milik perumahan abadi,10
Rw 17,Jl. Teluk makasar Kav.AL,Duren sawit ,Duren sawit,Jakarta Timur ,Pool Container,105,Fasum,8
TPS Kalimalang RW 12,Jl Pondok kelapa Selatan Sumber Arta,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Pool Gerobak,80,Lahan Tol Becakayu,10
Rw 10,Jl. Perumnas Raya no 1,Malaka sari,Duren sawit,Jakarta Timur ,Pool Gerobak,140,Milik irigasi,20
Dipo RW 04 Tipar,Jl.Raya Tipar ,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Dipo,325,Fasum,13
Pool Grobak Rw 011,Jl.Dermaga,Klender,Duren Sawit,Jakarta Timur ,Pool Gerobak,60,Bahu Jalan,15
Dipo RW 09 Malaka Selatan,Jl.Taman Malaka Selatan,Pondok Kelapa ,Duren Sawit,Jakarta Timur ,Dipo,450,Fasum,23
Rw. 04,Jl. Naga Raya,Duren Sawit,Duren Sawit,Jakarta Timur ,Pool Gerobak,35,bahu jalan,8
TPS RT 06 RW 08 Curug,Jl.H.Amar,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Pool Container,6,Fasum,2
TPS Permata Timur,Jl Permata Timur,Pondok Kelapa,Duren Sawit,Jakarta Timur ,TPS,50,Milik Perum Permata,2
Dipo RW 11 Manggar,Jl Manggar ,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Dipo,300,Fasum,15
Dipo marinir,jl.kav marinir,Pondok Kelapa,Duren Sawit,Jakarta Timur ,Dipo,300,milik irigasi,8
Pool Grobak Rw 013,Jl.IG Ngurah Rai Depan P3,Klender,Duren Sawit,Jakarta Timur ,Pool Gerobak,50,Lapangan Parkir Milik P3,7
Pool Grobak Pertanian Rw 02,Jl.I Gusti Ngurah Rai,Klender,Duren Sawit,Jakarta Timur ,Pool Gerobak,70,Lahan Terbuka/Pertanian,40
Rw. 09,Jl. Wijaya kusuma ,Duren Sawit,Duren Sawit,Jakarta Timur ,Pool Gerobak,40,bahu jalan,7
RW 01,Jl. Swadaya kantor kecamatan,Duren sawit,Duren sawit,Jakarta Timur ,TPS,100,Pemakaman,20
RW 17,Jl.Teluk Makasar Kav. AL,Duren sawit,Duren sawit,Jakarta Timur ,Pool Container,105,Fasum,8
Rw. 09,Jalan Bambu Asri Raya,Pondok Bambu,Duren Sawit,Jakarta Timur ,Pool Gerobak,32,Jalur Hijau,5
Rw. 06,Jalan Buluh Perindu Raya,Pondok Bambu,Duren Sawit,Jakarta Timur ,Pool Gerobak,100,Tanah Lahan DPU,40
Rw. 05,Jalan Pahlawan Revolusi Bea Cukai,Pondok Bambu,Duren Sawit,Jakarta Timur ,Pool Container,32,Milik Perum Bea Cukai,5
Dipo Rw 10,Jl.Kampung Sumur,Klender,Duren Sawit,Jakarta Timur ,Dipo,253,Tanah Abri 11 Maret,20
Bak Beton,Jl.Pahlawan Revolusi,Klender,Duren Sawit,Jakarta Timur ,Bak Beton,6,Bahu Jalan,1
Pool Container Rw 014,Jl.Taman Buaran Indah,Klender,Duren Sawit,Jakarta Timur ,Pool Container,35,Milik Perumahan Taman Buaran,5
RW 03,Jl. Kampung rawadas,Pd kopi,Duren sawit,Jakarta Timur ,Pool Gerobak,800,Milik dinas pertanaman,10
Rw 04,Jl. Pd kopi ujung,Od kopi,Duren sawit,Jakarta Timur ,TPS,48,Milik dinas pertanaman,20
Dipo Rw 10,Jl.Kampung Sumur,Klender,Duren Sawit,Jakarta Timur ,Dipo,253,Tanah ABRI 11 Maret,20
TPS. Rw.03,Jl. Kampung Rawadas,Pondok kopi,Duren sawit,Jakarta Timur ,Pool Gerobak,800,Milik Dinas pertamanan,10
TPS. Rw.04,Jl. Pondok kopi ujung,Pondok kopi,Duren sawit,Jakarta Timur ,TPS,800,Milik Dinas pertamanan,20
Pool countener,Jl. Terusan I. Gusti ngurah rai depan terminal bayangan Pondok kopi,Pondok kopi,Duren sawit,Jakarta Timur ,Pool Container,35,Milik Perumahan Rw.09,6
Pool contener Rw.11,Jl. Terusan I. Gusti ngurah rai BKT,Pondok kopi,Duren sawit,Jakarta Timur ,Pool Container,100,Milik Pemda,8
Rw 014 Pool Container,Jl.Taman Buaran Indah,Klender,Duren Sawit,Jakarta Timur ,Pool Container,35,Milik Prumahan Taman Buaran,5
Rw.06 Bak Terbuka,Jl.Pahlawan Revolusi,Klender,Duren Sawit,Jakarta Timur ,Bak Beton,6,Bahu Jalan,1
Dipo Rw 10,Jl.Kampung Sumur,Klender,Duren Sawit,Jakarta Timur ,Dipo,253,Tanah ABRI 11 Maret,20
RW 16,Jl. Teluk makasar kav.AL,Duren sawit ,Duren Sawit,Jakarta Timur ,Pool Gerobak,50,Fasum,21
Rw. 08,"Jl. Lingkar Duren Sawit, Komplek PTB",Duren sawit ,Duren sawit ,Jakarta Timur ,Dipo,300,milik perumahan PTB,7
Rw. 08,"Jl. Lingkar Duren Sawit, Komplek PTB",Duren sawit ,Duren sawit ,Jakarta Timur ,Dipo,300,milik perumahan PTB,7
Lps wika kel malakajaya kec duren sawit ,Jl.  Igusti ngurah rai,Malakajaya ,Duren sawit ,Jakarta Timur ,TPS,160,Milik prumnas klender,40
POOL CONTAINER CIPINANG ELOK,Jl.Cipinang Elok Blok Ag No.18,Cipinang Muara,Jatinegara,Jakarta Timur ,Pool Container,200,Tanah Fasum Komp.Perumahan Cipinang Elok,15
POOL CONTAINER CIPINANG ELOK,Jl.Cipinang Elok Blok Ag No.18,Cipinang Muara,Jatinegara,Jakarta Timur ,Pool Container,200,Tanah Fasum Komp.Perumahan Cipinang Elok,15
Dipo Barkah,Jl. Bekasi Timur ll Rw 03,Rawabunga,Jatinegara,Jakarta Timur ,Dipo,60,Milik perairan,80
Dipo Kolong Kp. Melayu,Jl awab,Balimester,Jatinegara,Jakarta Timur ,Dipo,80,Milik Dinas Pertamanan,80
Dipo Gor Otista,Jl otista raya ,Bidara Cina,Jatinegara,Jakarta Timur ,Dipo,80,Dinas Olah Raga (Pemda),16
Rusunawa Kp. Melayu,"Rusunawa Kp. Melayu, Jl. Jatinegara Barat ",Kp melayu,Jatinegara,Jakarta Timur ,Bak Beton,6,Pemda Dki,6
TPS Cawang Kavling,Jl. Cawang Baru Tengah No. 81,Cipinang Cempedak,Jatinegara,Jakarta Timur ,Pool Gerobak,96,Pemda DKI,8
Pool container Rw 013 Cip. Muara,Jl. Cipinang bali lll Rt 05/013,Cipinang Muara,Jatinegara,Jakarta Timur ,Pool Container,48,Pemda DKI,15
Rusun Bidara Cina ,"Jl biduri bulan, cawang ",Bidara Cina,Jatinegara,Jakarta Timur ,Pool Gerobak,24,Irigasi ,9
TPS RW.04 Panti Asuhan,Jl. Panti Asuhan RW. 04,Cipinang Cempedak,Jatinegara,Jakarta Timur ,Pool Container,24,Pemda DKI,16
Pool container RW. 08,Jl. Kebon Nanas Selatan 1 RW.08,Cipinang Cempedak,Jatinegara,Jakarta Timur ,Pool Container,20,Irigasi,8
Pool container RW.08,Jl. Kebon Nanas Selatan 1 RW.08,Cipinang Cempedak,Jatinegara,Jakarta Timur ,Pool Container,24,Irigasi,20
Tps perumpung Gg mayong,Jl Di panjaitan Gg mayong,Cipinang Besar Selatan,Jatinegara,Jakarta Timur ,Bak Beton,10,Pemda DKI,4
